unix,date,symbol,Open,High,Low,Close,Volume USD,Volume ETH
1637895420,2021-11-26 02:57:00,ETH/USD,4465,4468.66,4465,4468.66,0.1351512,603.944761392
1637895360,2021-11-26 02:56:00,ETH/USD,4470,4472.27,4466.29,4466.29,8.42744,37639.3909976
1637895300,2021-11-26 02:55:00,ETH/USD,4479,4479,4479,4479,0,0
1637895240,2021-11-26 02:54:00,ETH/USD,4479.31,4479.31,4476.32,4479,13.69286587,61330.34623173
1637895180,2021-11-26 02:53:00,ETH/USD,4486.69,4486.69,4475.83,4475.88,66.37119098,297069.486283562
1637895120,2021-11-26 02:52:00,ETH/USD,4490.06,4490.06,4490.05,4490.05,0.9195,4128.600975
1637895060,2021-11-26 02:51:00,ETH/USD,4489.74,4489.74,4489.74,4489.74,0.0416,186.773184
1637895000,2021-11-26 02:50:00,ETH/USD,4498.64,4499.73,4493.77,4493.77,1.18420639,5321.5511491903
1637894940,2021-11-26 02:49:00,ETH/USD,4493.93,4498.54,4493.73,4498.54,0.97156609,4370.6289185086
1637894880,2021-11-26 02:48:00,ETH/USD,4493.8,4493.8,4493.8,4493.8,0.0816,366.69408
1637894820,2021-11-26 02:47:00,ETH/USD,4504.09,4504.11,4499.8,4499.8,37.91141931,170593.804611138
1637894760,2021-11-26 02:46:00,ETH/USD,4501.1,4502.88,4501.1,4502.88,0.1098,494.416224
1637894700,2021-11-26 02:45:00,ETH/USD,4497.03,4497.03,4497.03,4497.03,0.55596103,2500.1734307409
1637894640,2021-11-26 02:44:00,ETH/USD,4499.73,4499.73,4499.73,4499.73,0,0
1637894580,2021-11-26 02:43:00,ETH/USD,4497.05,4501.39,4495.08,4499.73,1.19526198,5378.3561892654
1637894520,2021-11-26 02:42:00,ETH/USD,4497.88,4499.59,4497.88,4499.59,1.36131314,6125.3509916126
1637894460,2021-11-26 02:41:00,ETH/USD,4498.14,4498.34,4498.14,4498.34,9.18003504,41294.9188218336
1637894400,2021-11-26 02:40:00,ETH/USD,4495.99,4499.32,4495.66,4499.32,9.69225981,43608.5784083292
1637894340,2021-11-26 02:39:00,ETH/USD,4497.45,4499.47,4497.45,4499.47,1.71134056,7700.1255095032
1637894280,2021-11-26 02:38:00,ETH/USD,4499.53,4500.25,4499.53,4500.25,0.76004379,3420.3870659475
1637894220,2021-11-26 02:37:00,ETH/USD,4500.62,4501.73,4500.62,4500.94,5.11650494,23029.0817446436
1637894160,2021-11-26 02:36:00,ETH/USD,4501.5,4501.5,4501.5,4501.5,0,0
1637894100,2021-11-26 02:35:00,ETH/USD,4502.39,4502.39,4501.5,4501.5,9.64054095,43396.895086425
1637894040,2021-11-26 02:34:00,ETH/USD,4499.15,4500.06,4499.15,4500.06,3.06395353,13787.9747222118
1637893980,2021-11-26 02:33:00,ETH/USD,4493.5,4493.5,4493.49,4493.49,2.44701047,10995.6170768403
1637893920,2021-11-26 02:32:00,ETH/USD,4488.71,4491.25,4488.71,4491.25,2.03199974,9126.218832275
1637893860,2021-11-26 02:31:00,ETH/USD,4490.59,4490.59,4487.61,4487.61,0.1965,881.815365
1637893800,2021-11-26 02:30:00,ETH/USD,4490.55,4490.55,4487.8,4489.77,0.07380228,331.3552626756
1637893740,2021-11-26 02:29:00,ETH/USD,4488.37,4488.37,4487.09,4487.09,0.3411978,1530.985236402
1637893680,2021-11-26 02:28:00,ETH/USD,4487.8,4487.8,4483.05,4485.55,2.64072377,11845.0985065235
1637893620,2021-11-26 02:27:00,ETH/USD,4485.84,4486.17,4485.74,4486.17,2.48725689,11158.2572422113
1637893560,2021-11-26 02:26:00,ETH/USD,4489.16,4489.98,4487.89,4488.58,1.81907584,8165.0674339072
1637893500,2021-11-26 02:25:00,ETH/USD,4495.45,4495.45,4495.45,4495.45,0,0
1637893440,2021-11-26 02:24:00,ETH/USD,4495.45,4495.45,4495.45,4495.45,11.65,52371.9925
